Id,Tên trường,Loại hình cơ sở đào tạo,Loại trường,Cơ quan quản lý trực tiếp,Ký hiệu,Tên tiếng Anh,Website,"Tỉnh, thành phố",Được kiểm định bởi tổ chức kiểm định chất lượng giáo dục,Ngày cấp giấy chứng nhận kiểm định chất lượng,Ngày hết hạn giá trị của giấy chứng nhận kiểm định chất lượng
832,HỌC VIỆN BÁO CHÍ VÀ TUYÊN TRUYỀN,Học viện,Công lập,Học viện Chính trị Quốc gia Hồ Chí Minh,HBT,Academy of Journalism and Communication,https://ajc.hcma.vn/,Hà Nội,CEA-AVU&C,,29/06/2018
787,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,Học viện,Công lập,Bộ Thông tin và Truyền thông,BVH,Posts and Telecommunications Institute of Technology,https://portal.ptit.edu.vn/,Hà Nội,CEA-AVU&C,,01/09/2018
948,HỌC VIỆN CHÍNH SÁCH VÀ PHÁT TRIỂN,Học viện,Công lập,Bộ Kế hoạch và Đầu tư,HCP,Academy of Policy and Development,http://apd.edu.vn/,Hà Nội,CEA-AVU&C,,29/06/2018
975,HỌC VIỆN HÀNG KHÔNG VIỆT NAM,Học viện,Công lập,Bộ Giao thông vận tải,HHK,Viet Nam Aviation Academy,https://vaa.edu.vn/,TP. Hồ Chí Minh,CEA-AVU&C,,14/05/2018
687,HỌC VIỆN MÚA VIỆT NAM,Học viện,Công lập,"Bộ Văn hóa, Thể thao và Du lịch",CMH,Viet Nam Academy of Dance,https://www.vnad.edu.vn/,Hà Nội,,,
879,HỌC VIỆN NÔNG NGHIỆP VIỆT NAM,Học viện,Công lập,Bộ Nông nghiệp và Phát triển nông thôn,HVN,Vietnam National University of Agriculture,https://vnua.edu.vn/,Hà Nội,AVU&C,,09/06/2017
811,HỌC VIỆN NGÂN HÀNG,Học viện,Công lập,Ngân hàng Nhà nước Việt Nam,NHH,Banking Academy of Vietnam,https://www.hvnh.edu.vn/,Hà Nội,VNU-CEA,,09/05/2017
775,HỌC VIỆN NGOẠI GIAO,Học viện,Công lập,Bộ Ngoại giao,HQT,Diplomatic Academy of Viet Nam,https://dav.edu.vn,Hà Nội,VNU-CEA,,03/12/2020
802,HỌC VIỆN PHỤ NỮ VIỆT NAM,Học viện,Công lập,Trung ương Hội Liên hiệp Phụ nữ Việt Nam,HPN,Vietnam Women's Academy,http://hvpnvn.edu.vn/,Hà Nội,CEA-AVU&C,,22/09/2020
964,HỌC VIỆN QUẢN LÝ GIÁO DỤC,Học viện,Công lập,Bộ Giáo dục và Đào tạo,HVQ,National Institute of Education Management,http://naem.edu.vn/,Hà Nội,VNU-CEA,,30/06/2018
947,HỌC VIỆN TÀI CHÍNH,Học viện,Công lập,Bộ Tài chính,HTC,Academy of Finance,https://hvtc.edu.vn/,Hà Nội,CEA-AVU&C,,20/02/2017
788,HỌC VIỆN TOÀ ÁN,Học viện,Công lập,Toà án nhân dân tối cao,HTA,Vietnam Court Academy,http://hvta.toaan.gov.vn/,Hà Nội,,,
803,HỌC VIỆN THANH THIẾU NIÊN VIỆT NAM,Học viện,Công lập,Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh,HTN,Vietnam Youth Academy,http://vya.edu.vn/,Hà Nội,,,
866,HỌC VIỆN Y DƯỢC HỌC CỔ TRUYỀN VIỆT NAM,Học viện,Công lập,Bộ Y tế,HYD,Viet Nam University Of Traditional Medicine & Pharmacy,http://vutm.edu.vn/,Hà Nội,CEA-AVU&C,,14/05/2018
688,NHẠC VIỆN TP. HỒ CHÍ MINH,Học viện,Công lập,"Bộ Văn hóa, Thể thao và Du lịch",NVS,Ho Chi Minh City Conservatory of Music,http://hcmcons.vn/,TP. Hồ Chí Minh,,,
732,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,Trường đại học,Công lập,,TAG,VNUHCM - An Giang University,https://www.agu.edu.vn/,An Giang,VNU-HCM CEA,,16/03/2018
710,TRƯỜNG ĐẠI HỌC ANH QUỐC - VIỆT NAM,Trường đại học,Nước ngoài,Nước ngoài,BUV,British University Viet Nam,https://www.buv.edu.vn/,Hà Nội,,,
776,TRƯỜNG ĐẠI HỌC BÀ RỊA - VŨNG TÀU,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,BVU,Ba Ria - Vung Tau University,https://bvu.edu.vn/,Bà Rịa - Vũng Tàu,CEA-AVU&C,,16/09/2019
852,TRƯỜNG ĐẠI HỌC BẠC LIÊU,Trường đại học,Công lập,UBND tỉnh Bạc Liêu,DBL,Bac Lieu University,https://blu.edu.vn/,Bạc Liêu,,,
733,TRƯỜNG ĐẠI HỌC BÁCH KHOA - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,Trường đại học,Công lập,,QSB,VNUHCM - University of Technology,http://www.hcmut.edu.vn/,TP. Hồ Chí Minh,HCERES và AUN-QA,,06/12/2017 (HCERES) và 10/10/2017 (AUN-QA)
796,"TRƯỜNG ĐẠI HỌC BÁCH KHOA, ĐẠI HỌC ĐÀ NẴNG",Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,DDK,University of Science and Technology - The University of Da Nang,http://dut.udn.vn/,Đà Nẵng,HCERES,,06/12/2017
930,TRƯỜNG ĐẠI HỌC BÌNH DƯƠNG,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DBD,Binh Duong University,https://www.bdu.edu.vn/,Bình Dương,CEA-UD,,15/06/2018
867,TRƯỜNG ĐẠI HỌC CẦN THƠ,Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,TCT,Can Tho University,https://www.ctu.edu.vn/,Cần Thơ,VNU-HCM CEA,,20/04/2018
967,TRƯỜNG ĐẠI HỌC CMC,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,MCA,Asia University of Art & Design,https://cmc-u.edu.vn/,Hà Nội,,,
804,TRƯỜNG ĐẠI HỌC CÔNG ĐOÀN,Trường đại học,Công lập,Tổng Liên đoàn Lao động Việt Nam,LDA,Trade Union University,http://www.dhcd.edu.vn/,Hà Nội,VNU-CEA,,30/06/2018
724,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ - ĐẠI HỌC QUỐC GIA HÀ NỘI,Trường đại học,Công lập,,QHI,VNU University of Engineering and Technology,https://uet.vnu.edu.vn/,Hà Nội,VNU-HCM CEA,,17/11/2021
935,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ ĐỒNG NAI,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DCD,Dong Nai University of Technology,https://dntu.edu.vn/,Đồng Nai,VNU-CEA,,30/06/2018
934,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ ĐÔNG Á,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DDA,East Asia University of Technology,https://eaut.edu.vn/,Bắc Ninh,VNU-CEA,,02/12/2022
976,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ GIAO THÔNG VẬN TẢI,Trường đại học,Công lập,Bộ Giao thông vận tải,GTA,University of Transport Technology,https://utt.edu.vn/,Hà Nội,CEA-AVU&C,,20/02/2017
897,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ MIỀN ĐÔNG,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DMD,Mien Dong University of Technology,https://www.mut.edu.vn/,Đồng Nai,VU-CEA,,22/01/2020
936,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ SÀI GÒN,Trường đại học,Dân lập,Bộ Giáo dục và Đào tạo,DSG,Saigon Technology University,https://www.stu.edu.vn/,TP. Hồ Chí Minh,VNU-HCM CEA,,06/04/2018
937,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ TP. HỒ CHÍ MINH,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DKC,Ho Chi Minh City University of Technology,https://www.hutech.edu.vn/,TP. Hồ Chí Minh,CEA-UD,,15/11/2018
734,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,Trường đại học,Công lập,,QSC,VNUHCM - University of Information Technology,https://www.uit.edu.vn/,TP. Hồ Chí Minh,VNU-CEA,,04/12/2017
801,"TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG VIỆT HÀN, ĐẠI HỌC ĐÀ NẴNG",Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,VKU,Vietnam - Korea University of Information and Communication Technology - The University of Da Nang,http://vku.udn.vn/,Đà Nẵng,,,
912,"TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG, ĐẠI HỌC THÁI NGUYÊN",Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,DTC,University of Information and Communication Technology - Thai Nguyen University,https://ictu.edu.vn/,Thái Nguyên,CEA-AVU&C,,20/02/2017
938,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ VÀ QUẢN LÝ HỮU NGHỊ,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DCQ,University of Technology and Management,https://utm.edu.vn/,Hà Nội,CEA-AVU&C,,29/06/2018
881,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ VẠN XUÂN,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DVX,Van Xuan University of Technology,https://www.vxut.edu.vn/,Nghệ An,,,
751,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP DỆT MAY HÀ NỘI,Trường đại học,Công lập,Tập đoàn Dệt may Việt Nam,CCM,Hanoi Industrial Textile Garment University,http://hict.edu.vn/,Hà Nội,CEA-AVU&C,,04/5/2022
813,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,Trường đại học,Công lập,Bộ Công Thương,DCN,Hanoi University of Industry,http://www.haui.edu.vn/,Hà Nội,VNU-CEA,,09/07/2017
805,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP QUẢNG NINH,Trường đại học,Công lập,Bộ Công Thương,DDM,Quang Ninh University of Industry,https://qui.edu.vn/,Quảng Ninh,,,
814,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP TP. HỒ CHÍ MINH,Trường đại học,Công lập,Bộ Công Thương,HUI,Industrial University of Ho Chi Minh City,http://iuh.edu.vn/,TP. Hồ Chí Minh,VNU-HCM CEA,,09/12/2016
893,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP VIỆT - HUNG,Trường đại học,Công lập,Bộ Công Thương,VHD,Viet Nam - Hungary Industrial University,http://viu.edu.vn/,Hà Nội,CEA-AVU&C,,26/05/2021
894,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP VIỆT TRÌ,Trường đại học,Công lập,Bộ Công Thương,VUI,Viet Tri University of Industry,http://www.vui.edu.vn/,Phú Thọ,CEA-AVU&C,,29/06/2018
777,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP VINH,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DCV,Industrial University of Vinh,http://www.iuv.edu.vn/,Nghệ An,,,
939,TRƯỜNG ĐẠI HỌC CÔNG THƯƠNG TP. HỒ CHÍ MINH,Trường đại học,Công lập,Bộ Công Thương,DCT,Ho Chi Minh City University of Food Industry,https://huit.edu.vn/,TP. Hồ Chí Minh,VNU-HCM CEA,,05/03/2017
815,TRƯỜNG ĐẠI HỌC CỬU LONG,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DCL,Cuu Long University,http://mku.edu.vn/,Vĩnh Long,CEA-UD,,25/05/2018
880,TRƯỜNG ĐẠI HỌC CHU VĂN AN,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DCA,Chu Van An University,https://cvauni.edu.vn/,Hưng Yên,,,
778,TRƯỜNG ĐẠI HỌC DẦU KHÍ VIỆT NAM,Trường đại học,Công lập,Tập đoàn Dầu khí Quốc gia Việt Nam,PVU,PetroVietnam University,https://www.pvu.edu.vn/,Bà Rịa - Vũng Tàu,CEA-AVU&C,,04/06/2020
816,TRƯỜNG ĐẠI HỌC DÂN LẬP PHƯƠNG ĐÔNG,Trường đại học,Dân lập,Bộ Giáo dục và Đào tạo,DPD,Phuong Dong University,http://phuongdong.edu.vn/,Hà Nội,,,
780,TRƯỜNG ĐẠI HỌC DUY TÂN,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DDT,Duy Tan University,https://duytan.edu.vn/,Đà Nẵng,CEA-AVU&C,,20/02/2017
869,TRƯỜNG ĐẠI HỌC DƯỢC HÀ NỘI,Trường đại học,Công lập,Bộ Y tế,DKH,Hanoi University of Pharmacy,http://hup.edu.vn/,Hà Nội,VNU-CEA,,30/03/2018
980,TRƯỜNG ĐẠI HỌC ĐÀ LẠT,Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,TDL,Da Lat University,https://dlu.edu.vn/,Lâm Đồng,VNU-HCM CEA,,23/07/2019
940,TRƯỜNG ĐẠI HỌC ĐẠI NAM,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DDN,Dai Nam University,http://www.dainam.edu.vn/,Hà Nội,CEA-AVU&C,,18/11/2019
779,TRƯỜNG ĐẠI HỌC ĐIỆN LỰC,Trường đại học,Công lập,Bộ Công Thương,DDL,Electric Power University,https://www.epu.edu.vn/,Hà Nội,VNU-CEA,,30/06/2018
868,TRƯỜNG ĐẠI HỌC ĐIỀU DƯỠNG NAM ĐỊNH,Trường đại học,Công lập,Bộ Y tế,YDD,Nam Dinh University of Nursing,https://ndun.edu.vn/,Nam Định,CEA-AVU&C,,14/02/2020
842,TRƯỜNG ĐẠI HỌC ĐỒNG NAI,Trường đại học,Công lập,UBND tỉnh Đồng Nai,DNU,Dong Nai University,http://www.dnpu.edu.vn/,Đồng Nai,,,
689,TRƯỜNG ĐẠI HỌC ĐỒNG THÁP,Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,SPD,Dong Thap University,https://www.dthu.edu.vn/,Đồng Tháp,VNU-CEA,,09/08/2017
941,TRƯỜNG ĐẠI HỌC ĐÔNG Á,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DAD,Dong A University,https://donga.edu.vn/,Đà Nẵng,CEA-AVU&C,,05/08/2018
898,TRƯỜNG ĐẠI HỌC ĐÔNG ĐÔ,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DDD,Dong Do University,http://www.hdiu.edu.vn/,Hà Nội,,,
942,TRƯỜNG ĐẠI HỌC FPT,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,FPT,FPT University,https://daihoc.fpt.edu.vn/,Hà Nội,VU-CEA,,08/08/2019
739,TRƯỜNG ĐẠI HỌC FULBRIGHT VIỆT NAM,Trường đại học,Nước ngoài,Nước ngoài,FUV,Fulbright University Vietnam,https://fulbright.edu.vn/,TP. Hồ Chí Minh,,,
789,TRƯỜNG ĐẠI HỌC GIA ĐỊNH,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DCG,Gia Dinh University,https://giadinh.edu.vn/,TP. Hồ Chí Minh,CEA-AVU&C,,24/05/2021
725,TRƯỜNG ĐẠI HỌC GIÁO DỤC - ĐẠI HỌC QUỐC GIA HÀ NỘI,Trường đại học,Công lập,,QHS,VNU University of Education,http://education.vnu.edu.vn/,Hà Nội,VNU-HCM CEA,,17/11/2016
978,TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI,Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,GHA,University of Transport and Communications,https://www.utc.edu.vn/,Hà Nội,VNU-CEA,,23/03/2016
977,TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI TP. HỒ CHÍ MINH,Trường đại học,Công lập,Bộ Giao thông vận tải,GTS,Ho Chi Minh City University of Transport,https://ut.edu.vn/,TP. Hồ Chí Minh,VNU-HCM CEA,,05/03/2017
943,TRƯỜNG ĐẠI HỌC HÀ HOA TIÊN,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DHH,Ha Hoa Tien University,,Hà Nam,,,
944,TRƯỜNG ĐẠI HỌC HẠ LONG,Trường đại học,Công lập,UBND tỉnh Quảng Ninh,HLU,Ha Long University,https://uhl.edu.vn/,Quảng Ninh,VU-CEA,,18/05/2021
870,TRƯỜNG ĐẠI HỌC HÀ NỘI,Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,NHF,Hanoi University,https://www.hanu.vn/,Hà Nội,CEA-AVU&C,,22/12/2017
891,TRƯỜNG ĐẠI HỌC HÀ TĨNH,Trường đại học,Công lập,UBND tỉnh Hà Tĩnh,HHT,Ha Tinh University,http://www.htu.edu.vn/,Hà Tĩnh,VNU-CEA,,30/06/2018
949,TRƯỜNG ĐẠI HỌC HẢI DƯƠNG,Trường đại học,Công lập,UBND tỉnh Hải Dương,DKT,University of Hai Duong,http://uhd.edu.vn/,Hải Dương,CEA-AVU&C,,26/05/2021
806,TRƯỜNG ĐẠI HỌC HẢI PHÒNG,Trường đại học,Công lập,UBND TP. Hải Phòng,THP,Hai Phong University,https://dhhp.edu.vn/,Hải Phòng,CEA-AVU&C,,29/06/2018
986,TRƯỜNG ĐẠI HỌC HÀNG HẢI VIỆT NAM,Trường đại học,Công lập,Bộ Giao thông vận tải,HHA,Vietnam Maritime University,http://www.vimaru.edu.vn/,Hải Phòng,VNU-CEA,,30/03/2018
817,TRƯỜNG ĐẠI HỌC HOÀ BÌNH,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,ETU,Peace University,http://daihochoabinh.edu.vn/,Hà Nội,VNU-CEA,,30/03/2018
950,TRƯỜNG ĐẠI HỌC HOA LƯ,Trường đại học,Công lập,UBND tỉnh Ninh Bình,DNB,Hoa Lu University,http://hluv.edu.vn/,Ninh Bình,VU-CEA,,08/10/2020
951,TRƯỜNG ĐẠI HỌC HOA SEN,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,HSU,Hoa Sen University,https://www.hoasen.edu.vn/,TP. Hồ Chí Minh,CEA-AVU&C,,14/02/2020
740,TRƯỜNG ĐẠI HỌC HỒNG ĐỨC,Trường đại học,Công lập,UBND tỉnh Thanh Hoá,HDT,Hong Duc University,http://www.hdu.edu.vn/,Thanh Hóa,VNU-CEA,,09/06/2017
899,TRƯỜNG ĐẠI HỌC HÙNG VƯƠNG,Trường đại học,Công lập,UBND tỉnh Phú Thọ,THV,Hung Vuong University,https://www.hvu.edu.vn/,Phú Thọ,CEA-AVU&C,,14/5/2018
853,TRƯỜNG ĐẠI HỌC HÙNG VƯƠNG - TP. HỒ CHÍ MINH,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DHV,Hung Vuong University Ho Chi Minh City,https://hvuh.edu.vn/,TP. Hồ Chí Minh,CEA-AVU&C,,19/01/2023
790,TRƯỜNG ĐẠI HỌC KIỂM SÁT HÀ NỘI,Trường đại học,Công lập,Viện Kiểm sát nhân dân tối cao,DKS,Hanoi Procuratorate University,https://tks.edu.vn/,Hà Nội,,,
883,TRƯỜNG ĐẠI HỌC KIẾN TRÚC ĐÀ NẴNG,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,KTD,Danang Architecture University,https://dau.edu.vn/,Đà Nẵng,CEA-AVU&C,,14/05/2018
884,TRƯỜNG ĐẠI HỌC KIẾN TRÚC HÀ NỘI,Trường đại học,Công lập,Bộ Xây dựng,KTA,Hanoi Achitectural University,http://hau.edu.vn/,Hà Nội,CEA-AVU&C,,01/03/2018
885,TRƯỜNG ĐẠI HỌC KIẾN TRÚC TP. HỒ CHÍ MINH,Trường đại học,Công lập,Bộ Xây dựng,KTS,University of Architecture Ho Chi Minh City,http://www.uah.edu.vn/,TP. Hồ Chí Minh,CEA-UD,,22/02/2021
781,TRƯỜNG ĐẠI HỌC KIÊN GIANG,Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,TKG,Kien Giang University,https://www.vnkgu.edu.vn/,Kiên Giang,CEA-UD,,20/7/2022
818,TRƯỜNG ĐẠI HỌC KINH BẮC,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,UKB,Kinh Bac University,http://ukb.edu.vn/,Bắc Ninh,,,
791,TRƯỜNG ĐẠI HỌC KINH DOANH VÀ CÔNG NGHỆ HÀ NỘI,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DQK,Hanoi University of Business and Technology,http://hubt.edu.vn/,Hà Nội,CEA-AVU&C,,04/5/2022
860,TRƯỜNG ĐẠI HỌC KINH TẾ - CÔNG NGHỆ THÁI NGUYÊN,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DVB,Viet Bac University,http://tuetech.edu.vn/,Thái Nguyên,CEA-UD,,16/06/2018
728,TRƯỜNG ĐẠI HỌC KINH TẾ - ĐẠI HỌC QUỐC GIA HÀ NỘI,Trường đại học,Công lập,,QHE,VNU University of Economics and Business,http://ueb.edu.vn/,Hà Nội,VNU-HCM CEA,,09/09/2016
854,TRƯỜNG ĐẠI HỌC KINH TẾ - KỸ THUẬT BÌNH DƯƠNG,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DKB,Binh Duong Economics and Technology University,https://ktkt.edu.vn/,Bình Dương,CEA-AVU&C,,29/4/2022
737,TRƯỜNG ĐẠI HỌC KINH TẾ - LUẬT - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,Trường đại học,Công lập,,QSK,VNUHCM - University of Economics and Law,https://www.uel.edu.vn/,TP. Hồ Chí Minh,VNU-CEA,,04/10/2017
945,TRƯỜNG ĐẠI HỌC KINH TẾ - TÀI CHÍNH TP. HỒ CHÍ MINH,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,UEF,Universtiy of Economics and Finance,https://www.uef.edu.vn/,TP. Hồ Chí Minh,VNU-HCM CEA,,01/02/2019
807,TRƯỜNG ĐẠI HỌC KINH TẾ CÔNG NGHIỆP LONG AN,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DLA,Long An University of Economics and Industry,https://daihoclongan.edu.vn/,Long An,VU-CEA,,22/01/2020
782,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,Trường đại học,Công lập,Bộ Công Thương,DKK,University of Economic and Technical Industries,https://uneti.edu.vn/,Nam Định,CEA-AVU&C,,29/06/2018
952,TRƯỜNG ĐẠI HỌC KINH TẾ NGHỆ AN,Trường đại học,Công lập,UBND tỉnh Nghệ An,CEA,Nghe An College of Economics,http://dhktna.edu.vn/,Nghệ An,VU-CEA,,12/10/2022
819,TRƯỜNG ĐẠI HỌC KINH TẾ QUỐC DÂN,Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,KHA,National Economic University,https://www.neu.edu.vn/,Hà Nội,,,
914,"TRƯỜNG ĐẠI HỌC KINH TẾ VÀ QUẢN TRỊ KINH DOANH, ĐẠI HỌC THÁI NGUYÊN",Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,DTE,University of Economic and Business Administration - Thai Nguyen University,http://tueba.edu.vn/,Thái Nguyên,CEA-AVU&C,,12/12/2017
701,"TRƯỜNG ĐẠI HỌC KINH TẾ, ĐẠI HỌC HUẾ",Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,DHK,"University of Economics, Hue University",https://hce.edu.vn,Thừa Thiên Huế,VNU-CEA,,30/03/2018
783,TRƯỜNG ĐẠI HỌC KỸ THUẬT - CÔNG NGHỆ CẦN THƠ,Trường đại học,Công lập,UBND TP. Cần Thơ,KCC,Can Tho University of Technology,https://ctuet.edu.vn/,Cần Thơ,CEA-UD,,19/01/2021
915,"TRƯỜNG ĐẠI HỌC KỸ THUẬT CÔNG NGHIỆP, ĐẠI HỌC THÁI NGUYÊN",Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,DTK,University of Technology - Thai Nguyen University,http://www.tnut.edu.vn/,Thái Nguyên,CEA-AVU&C,,12/11/2017
871,TRƯỜNG ĐẠI HỌC KỸ THUẬT Y - DƯỢC ĐÀ NẴNG,Trường đại học,Công lập,Bộ Y tế,YDN,Danang University of Medical Technology and Pharmacy,http://dhktyduocdn.edu.vn/,Đà Nẵng,CEA-AVU&C,,04/5/2022
872,TRƯỜNG ĐẠI HỌC KỸ THUẬT Y TẾ HẢI DƯƠNG,Trường đại học,Công lập,Bộ Y tế,DKY,Hai Duong Medical Technical University,http://www.hmtu.edu.vn/,Hải Dương,CEA-AVU&C,,05/08/2018
843,TRƯỜNG ĐẠI HỌC KHÁNH HOÀ,Trường đại học,Công lập,UBND tỉnh Khánh Hòa,UKH,Khanh Hoa University,http://ukh.edu.vn/,Khánh Hoà,,,
726,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐẠI HỌC QUỐC GIA HÀ NỘI,Trường đại học,Công lập,,QHT,VNU University of Science,http://hus.vnu.edu.vn/,Hà Nội,VNU-CEA,,04/03/2017
735,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,Trường đại học,Công lập,,QST,VNUHCM - University of Science,https://www.hcmus.edu.vn/,TP. Hồ Chí Minh,VNU-CEA,,04/03/2017
